x,y,cell_id,population ,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3,u,var,sd,IoD,CoV
-2.258104,53.4348514,4.54E+18,97,5,1,3,3,3,2.666666667,1.632993162,0.888888889,0.544331054
-2.2581586,53.4438398,4.77E+18,28,0,0,1,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2581804,53.4474352,-4.30E+18,160,2,0,0,1,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.0686185,53.5402755,-8.47E+18,106,0,1,0,0,0.25,0.25,0.5,1,2
-2.0987889,53.536659,-8.24E+18,221,0,1,1,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.0988183,53.5492427,5.94E+18,73,0,1,1,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.0988204,53.5501415,4.13E+18,105,0,0,0,1,0.25,0.25,0.5,1,2
-2.0988834,53.5771064,-1.83E+18,65,0,1,0,0,0.25,0.25,0.5,1,2
-2.0989002,53.584297,7.26E+18,55,0,0,0,1,0.25,0.25,0.5,1,2
-2.1002935,53.5348601,-3.42E+18,233,0,0,0,2,0.5,1,1,2,2
-2.1003851,53.5735098,2.64E+17,73,1,0,0,0,0.25,0.25,0.5,1,2
-2.1004065,53.5824981,-3.99E+18,21,1,0,0,0,0.25,0.25,0.5,1,2
-2.256588,53.433057,3.19E+18,21,2,0,2,1,1.25,0.916666667,0.957427108,0.733333333,0.765941686
-2.2566368,53.4411466,-7.73E+18,73,1,2,0,0,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2566693,53.4465396,2.28E+18,53,0,0,2,1,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2567127,53.4537303,-4.16E+18,74,0,1,0,0,0.25,0.25,0.5,1,2
-2.2567236,53.455528,3.64E+18,76,0,0,1,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.0972718,53.5330649,-6.15E+18,201,2,0,0,0,0.5,1,1,2,2
-2.0973752,53.5780065,-9.12E+18,63,0,0,0,1,0.25,0.25,0.5,1,2
-2.0987826,53.5339625,1.05E+18,66,1,0,0,0,0.25,0.25,0.5,1,2
-2.098875,53.5735111,-6.71E+18,90,0,0,0,2,0.5,1,1,2,2
-2.0988897,53.5798029,5.46E+18,129,1,0,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2551799,53.4492393,-8.60E+17,131,2,3,0,2,1.75,1.583333333,1.258305739,0.904761905,0.719031851
-2.0972822,53.5375591,-8.44E+18,200,1,0,1,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.097307,53.5483451,-8.43E+17,129,1,0,0,0,0.25,0.25,0.5,1,2
-2.0973173,53.5528392,8.26E+18,56,1,0,0,0,0.25,0.25,0.5,1,2
-2.0958629,53.5771089,-6.11E+18,82,1,2,1,0,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.095867,53.5789065,6.07E+18,158,2,1,0,1,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.095869,53.5798053,-3.32E+17,145,0,0,0,2,0.5,1,1,2,2
-2.0943045,53.5555382,6.58E+18,68,0,1,0,2,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.0943446,53.5735148,-9.04E+18,125,1,0,2,0,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.0943507,53.5762112,-1.79E+18,28,1,0,0,0,0.25,0.25,0.5,1,2
-2.0943647,53.582503,3.49E+18,81,0,0,0,1,0.25,0.25,0.5,1,2
-2.0943687,53.5843007,6.20E+18,81,0,0,0,1,0.25,0.25,0.5,1,2
-2.0944029,53.5995807,6.14E+18,130,1,0,1,1,0.75,0.25,0.5,0.333333333,0.666666667
-2.0957652,53.533965,6.92E+18,60,0,0,0,1,0.25,0.25,0.5,1,2
-2.0958059,53.5519416,-1.75E+18,75,1,0,2,0,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2536635,53.4474449,-7.15E+18,100,0,1,2,0,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2520141,53.4231793,8.18E+18,25,0,0,2,1,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2521259,53.442055,4.16E+18,102,1,4,1,3,2.25,2.25,1.5,1,0.666666667
-2.2522378,53.4609306,-4.84E+17,18,0,0,1,0,0.25,0.25,0.5,1,2
-2.0943487,53.5753124,3.93E+17,82,0,0,1,0,0.25,0.25,0.5,1,2
-2.06262,53.5654462,5.29E+18,58,0,0,1,0,0.25,0.25,0.5,1,2
-2.0912468,53.5375639,5.52E+18,183,0,0,1,0,0.25,0.25,0.5,1,2
-2.250504,53.4222837,2.47E+18,35,0,2,0,0,0.5,1,1,2,2
-2.2506151,53.4411593,-7.68E+18,71,4,2,1,2,2.25,1.583333333,1.258305739,0.703703704,0.559246995
-2.2507211,53.4591361,-7.19E+17,69,0,0,0,1,0.25,0.25,0.5,1,2
-2.0928483,53.5798077,-1.17E+18,69,1,0,0,2,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.0928958,53.6013795,-7.12E+18,10,0,0,1,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.0897437,53.5402615,-7.41E+18,140,1,0,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.0897723,53.553744,4.90E+18,97,0,1,0,0,0.25,0.25,0.5,1,2
-2.2490098,53.4240845,-8.28E+18,40,4,3,3,1,2.75,1.583333333,1.258305739,0.575757576,0.457565723
-2.2490518,53.4312752,8.51E+18,125,11,11,10,7,9.75,3.583333333,1.892969449,0.367521368,0.194150713
-2.2491413,53.4465555,-5.00E+17,70,1,1,0,1,0.75,0.25,0.5,0.333333333,0.666666667
-2.2491992,53.4564428,-1.26E+18,97,0,0,2,2,1,1.333333333,1.154700538,1.333333333,1.154700538
-2.0913399,53.5807077,-8.34E+18,80,0,1,1,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2475468,53.4312784,-6.47E+18,92,4,6,2,2,3.5,3.666666667,1.914854216,1.047619048,0.547101204
-2.2476933,53.4564459,-7.65E+18,97,0,0,2,0,0.5,1,1,2,2
-2.2477614,53.4681308,-6.95E+18,180,0,0,0,1,0.25,0.25,0.5,1,2
-2.2477718,53.4699285,7.31E+18,138,0,0,0,1,0.25,0.25,0.5,1,2
-2.0867276,53.5411626,3.48E+18,114,0,0,1,0,0.25,0.25,0.5,1,2
-2.0868236,53.5879017,2.50E+18,62,0,0,1,0,0.25,0.25,0.5,1,2
-2.0897379,53.537565,2.88E+18,197,0,1,0,0,0.25,0.25,0.5,1,2
-2.245995,53.4231919,8.07E+18,108,3,1,2,0,1.5,1.666666667,1.290994449,1.111111111,0.860662966
-2.2460469,53.4321803,-4.75E+18,45,3,7,1,2,3.25,6.916666667,2.62995564,2.128205128,0.80921712
-2.2461665,53.4528537,5.07E+18,99,1,1,2,0,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.2461769,53.4546513,-3.17E+18,43,0,0,1,0,0.25,0.25,0.5,1,2
-2.2461977,53.4582467,8.91E+18,85,1,0,0,0,0.25,0.25,0.5,1,2
-2.2462029,53.4591455,1.81E+18,36,1,0,1,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.0852277,53.5456578,3.51E+18,123,1,0,0,0,0.25,0.25,0.5,1,2
-2.0852712,53.5672298,-8.62E+18,23,0,1,0,0,0.25,0.25,0.5,1,2
-2.0882253,53.5357685,-3.57E+18,77,0,0,0,1,0.25,0.25,0.5,1,2
-2.0882385,53.5420603,-2.92E+18,194,0,1,0,0,0.25,0.25,0.5,1,2
-2.2444747,53.4204985,-3.36E+18,62,1,1,0,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2445521,53.4339811,1.77E+18,97,2,2,6,6,4,5.333333333,2.309401077,1.333333333,0.577350269
-2.2446141,53.4447672,-7.58E+17,55,1,1,2,4,2,2,1.414213562,1,0.707106781
-2.2447849,53.4744289,6.12E+18,111,0,1,0,0,0.25,0.25,0.5,1,2
-2.0867331,53.5438591,-7.72E+18,211,0,0,1,0,0.25,0.25,0.5,1,2
-2.086735,53.5447579,-7.61E+18,49,0,0,0,1,0.25,0.25,0.5,1,2
-2.2430829,53.4402761,-7.30E+18,55,4,4,1,4,3.25,2.25,1.5,0.692307692,0.461538462
-2.2431343,53.4492645,1.74E+16,87,2,0,2,2,1.5,1,1,0.666666667,0.666666667
-2.2431805,53.457354,-9.15E+18,90,1,0,1,1,0.75,0.25,0.5,0.333333333,0.666666667
-2.2432114,53.4627471,-8.58E+18,72,1,0,0,2,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.243268,53.4726343,3.43E+18,300,0,0,1,0,0.25,0.25,0.5,1,2
-2.083715,53.5438612,-4.18E+18,97,2,0,1,0,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.0851861,53.5249846,-9.28E+16,71,0,1,0,0,0.25,0.25,0.5,1,2
-2.0852368,53.550152,8.86E+18,60,0,0,0,1,0.25,0.25,0.5,1,2
-2.085302,53.5825099,5.60E+18,66,0,0,1,0,0.25,0.25,0.5,1,2
-2.2414959,53.4258976,2.28E+18,145,2,1,1,1,1.25,0.25,0.5,0.2,0.4
-2.2415061,53.4276953,5.43E+18,67,0,0,2,0,0.5,1,1,2,2
-2.2415265,53.4312907,-8.10E+18,58,1,2,2,2,1.75,0.25,0.5,0.142857143,0.285714286
-2.2415673,53.4384814,8.68E+18,75,6,4,3,5,4.5,1.666666667,1.290994449,0.37037037,0.286887655
-2.2415826,53.441178,2.13E+18,46,4,2,3,1,2.5,1.666666667,1.290994449,0.666666667,0.516397779
-2.2417563,53.4717385,-8.86E+18,456,0,0,0,1,0.25,0.25,0.5,1,2
-2.2417717,53.474435,-5.34E+18,361,0,0,1,0,0.25,0.25,0.5,1,2
-2.0837204,53.5465577,-1.89E+18,68,0,1,0,0,0.25,0.25,0.5,1,2
-2.0837845,53.5789156,-6.53E+18,67,0,1,0,0,0.25,0.25,0.5,1,2
-2.0837952,53.5843086,4.34E+18,72,0,1,0,0,0.25,0.25,0.5,1,2
-2.239991,53.4259007,-7.92E+18,121,0,1,1,2,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.2400113,53.4294961,8.67E+18,74,2,0,2,0,1,1.333333333,1.154700538,1.333333333,1.154700538
-2.2400214,53.4312937,5.57E+18,51,1,0,3,0,1,2,1.414213562,2,1.414213562
-2.240062,53.4384845,-4.56E+18,87,2,4,6,8,5,6.666666667,2.581988897,1.333333333,0.516397779
-2.2401178,53.4483717,-4.10E+17,91,5,3,2,1,2.75,2.916666667,1.707825128,1.060606061,0.621027319
-2.2401584,53.4555625,8.14E+18,219,1,3,4,6,3.5,4.333333333,2.081665999,1.238095238,0.594761714
-2.2401635,53.4564613,8.93E+18,84,2,1,1,1,1.25,0.25,0.5,0.2,0.4
-2.2401686,53.4573601,-4.27E+18,45,1,2,1,0,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.2402143,53.4654497,2.59E+18,67,0,1,0,0,0.25,0.25,0.5,1,2
-2.2402244,53.4672474,3.72E+18,209,1,0,0,0,0.25,0.25,0.5,1,2
-2.2402549,53.4726404,-4.17E+18,391,1,2,1,2,1.5,0.333333333,0.577350269,0.222222222,0.384900179
-2.0822199,53.5510529,8.75E+17,80,0,1,0,0,0.25,0.25,0.5,1,2
-2.0822812,53.582512,-8.82E+18,76,1,0,0,0,0.25,0.25,0.5,1,2
-2.2385668,53.4402852,-8.91E+18,73,2,2,3,1,2,0.666666667,0.816496581,0.333333333,0.40824829
-2.2386777,53.4600597,1.51E+18,35,1,0,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2387635,53.4753399,-2.37E+18,475,3,2,0,0,1.25,2.25,1.5,1.8,1.2
-2.0807123,53.5519528,-3.36E+18,83,0,2,0,0,0.5,1,1,2,2
-2.0807552,53.5744236,1.31E+18,24,0,0,1,0,0.25,0.25,0.5,1,2
-2.0807707,53.582513,-2.46E+17,41,1,0,0,0,0.25,0.25,0.5,1,2
