x,y,cell_id,postcode,county,town,suburb,road,box_1,box_2,box_3,box_4
-2.2681671,53.5984183,-8.38905416774305e+18,BL9 7SE,Greater Manchester,Bury,Fairfield,Broad Oak Lane,53.5984802,53.5989825,-2.2691499,-2.26188
-2.2681785,53.6002159,-8.363147202096006e+17,BL9 7LT,Greater Manchester,Bury,Fairfield,Woodgate Hill Road,53.5988586,53.6004243,-2.270575,-2.2679246
-2.3127399,53.4958425,-4.648399480621169e+18,M6 8WP,Greater Manchester,Eccles,Ellesmere Park,Light Oaks Road,53.4948205,53.495816,-2.3211344,-2.310778
-2.312826,53.5075273,-5.175862803683304e+18,M27 4HZ,Greater Manchester,Pendlebury,Unknown,Beverley Road,53.5067037,53.507526,-2.3159629,-2.3126691
-2.3130647,53.5398849,-7.841067986731276e+18,M45 7NS,Greater Manchester,Prestwich,Unknown,Lowercroft,53.5397772,53.5406252,-2.3131866,-2.312709
-2.3135035,53.5992068,4.3719127554844216e+18,BL8 1TA,Greater Manchester,Bury,Elton,Tottington Road,53.599514,53.599614,-2.3138146,-2.3137146
-2.2666051,53.5903323,1.0458751962567856e+17,BL9 7JX,Greater Manchester,Rochdale,Unknown,Lord Street,53.5906637,53.5907001,-2.2687923,-2.2662002
-2.265162,53.6011215,-2.4722643696093875e+18,BL9 7RH,Greater Manchester,Bury,Jericho,Fourth Avenue,53.5997387,53.601544,-2.266275,-2.263639
-2.312218,53.6297703,-3.546124580951844e+18,BL9 5NX,Greater Manchester,Bury,Unknown,Crosfield Avenue,53.6299134,53.6307132,-2.3123713,-2.3120624
-2.3097252,53.4958504,-4.869614305202072e+18,M6 7GD,Greater Manchester,Pendlebury,Pendleton,Moorfield Road,53.4959674,53.4983165,-2.3104892,-2.3037954
-2.3097777,53.503041,1.738506055606714e+18,M27 8PZ,Greater Manchester,Pendlebury,Unknown,Unknown,53.5028711,53.503008,-2.31007,-2.3096545
-2.3100797,53.5443869,-4.576204101087127e+18,M45 7QW,Greater Manchester,Whitefield,Unknown,Old Hall Road,53.5439886,53.545124,-2.312317,-2.3103562
-2.3102245,53.5641609,1.2021800303012923e+18,M26 2PG,Greater Manchester,Radcliffe,Bank Top,Church Street East,53.5637204,53.5638763,-2.3098715,-2.3096552
-2.2621231,53.5984317,6.380333469758034e+18,BL9 7SE,Greater Manchester,Bury,Fairfield,Broad Oak Lane,53.5984802,53.5989825,-2.2691499,-2.26188
